model,split,min_rating,fit_seconds,hr@10,ndcg@10,hr@20,ndcg@20,hr@100,ndcg@100,mrr,sampled99_hr@10,sampled99_ndcg@10,n_eval_users,params
ease,valid,3,3.14,0.0988737992712818,0.0477223422588749,0.167770785028155,0.065062223124336,0.4481616429281219,0.115572023340792,0.0454787089351534,0.702550513415038,0.4367381450730067,6038,"{""regularization"": 250.0}"
ease,test,3,2.82,0.1000331235508446,0.0494290110470515,0.1608148393507784,0.0647522467729342,0.4307717787346803,0.1133170756481557,0.0465096449219909,0.6765485260019874,0.4176835187018036,6038,"{""regularization"": 250.0}"
als,valid,3,6.53,0.0761841669426962,0.03596311014618,0.1343159986750579,0.0506145854955245,0.4157005631003643,0.1009665212204907,0.0363797473007506,0.7052003974826101,0.4202125535385121,6038,"{""alpha"": 40.0, ""factors"": 64, ""iterations"": 15, ""regularization"": 0.01}"
als,test,3,6.59,0.0687313680026498,0.0332361448379455,0.1204041073203047,0.0461444040863396,0.3948327260682345,0.0950557645390815,0.0343264405138304,0.6720768466379596,0.3962339760135224,6038,"{""alpha"": 40.0, ""factors"": 64, ""iterations"": 15, ""regularization"": 0.01}"
bpr,valid,3,5.02,0.07767472673070554,0.035156804440354,0.1387876780390858,0.0503866688728901,0.40973832394832727,0.09899312022216283,0.03480733372291473,0.7035442199403776,0.4157275163271842,6038,"{""epochs"": 30, ""factors"": 64, ""learning_rate"": 0.05, ""regularization"": 0.01}"
bpr,test,3,4.42,0.08314011262007287,0.041551495655175186,0.13613779397151374,0.05489632000020879,0.3835707187810533,0.09904527189480292,0.040382282581993965,0.6846637959589268,0.40156889445317356,6038,"{""epochs"": 30, ""factors"": 64, ""learning_rate"": 0.05, ""regularization"": 0.01}"
