regularization,hr@10,ndcg@10,hr@20,ndcg@20,hr@100,ndcg@100,mrr,seconds
500,0.09920503477972839,0.04774574317929995,0.17108314011262007,0.06576757892890138,0.45776747267307055,0.11733029186977265,0.04573019323348104,1.28
250,0.09887379927128188,0.04772234225887491,0.167770785028155,0.06506222312433604,0.4481616429281219,0.11557202334079202,0.04547870893515346,1.37
1000,0.09920503477972839,0.04770977203537461,0.17157999337528984,0.06579443043483835,0.45743623716462406,0.11707871403439506,0.045663312617680266,1.39
2000,0.09870818151705862,0.04700755166803937,0.16412719443524346,0.0633977081868087,0.44898973169923817,0.11455698022117658,0.044517275346702426,1.34
100,0.09655515071215634,0.04646968604179381,0.1632991056641272,0.06326697782139408,0.4248095395826433,0.11042083011414251,0.04396212754981917,1.35
50,0.09175223583968202,0.04468558164939259,0.1579993375289831,0.06140392330756015,0.40592911560119244,0.10610635852088668,0.04265698844762066,1.33
10,0.08363696588274264,0.04114731956288188,0.14524677045379264,0.0565572591778352,0.35872805564756544,0.09491151948306507,0.03911381662483573,1.27
1,0.07220934084133819,0.03596451634437702,0.1187479297780722,0.047722215165168,0.3080490228552501,0.08176326914812296,0.03423422830384842,1.32
