regularization,hr@10,ndcg@10,hr@20,ndcg@20,hr@100,ndcg@100,mrr,seconds
250,0.10231788079470198,0.04920447244188353,0.17102649006622517,0.0664857470382753,0.4600993377483444,0.11854666411854871,0.04649791526756264,1.51
500,0.10182119205298014,0.04876422774730021,0.1740066225165563,0.06690361913327911,0.46672185430463575,0.11955338804262461,0.04640828434797852,1.7
100,0.09817880794701987,0.04775756893700614,0.16804635761589404,0.06534806320522998,0.4339403973509934,0.11339308171237766,0.045460912588299825,1.76
1000,0.09768211920529801,0.0470514177373203,0.17334437086092716,0.06608776871641486,0.4652317880794702,0.11850447534582303,0.04563841531926785,1.48
50,0.09552980132450331,0.04606678727622509,0.1650662251655629,0.06347237660716083,0.41357615894039734,0.10827034117071128,0.04344881702231303,1.71
2000,0.09437086092715231,0.045372140498345245,0.16771523178807948,0.06378127960865808,0.45364238410596025,0.11520566454814374,0.04423236161196821,1.62
10,0.08741721854304636,0.042120669992286884,0.1490066225165563,0.05757259234304603,0.3622516556291391,0.09595271978212276,0.039305673122664364,1.48
1,0.07185430463576159,0.03527107226101118,0.1183774834437086,0.047017690185216926,0.31026490066225165,0.0815663875863497,0.03358337912115348,2.06
