alpha,shrink,top_k,hr@10,ndcg@10,hr@20,ndcg@20,hr@100,ndcg@100,mrr,seconds
0.5,0,5,0.075,0.03615489094244724,0.12897350993377482,0.04964226439396264,0.32665562913907287,0.0854744602530328,0.03387710587878688,1.25
0.5,0,10,0.07764900662251656,0.03614548409880042,0.12897350993377482,0.04904372107998132,0.3577814569536424,0.09008683215845562,0.03380214144716166,1.29
0.5,10,5,0.07483443708609272,0.03584677457129451,0.12831125827814568,0.04919607144986994,0.327317880794702,0.08521716749041934,0.033456079893292794,1.27
0.5,10,3,0.07400662251655629,0.0357229299176944,0.12367549668874173,0.048181957410585625,0.2870860927152318,0.07806107724611282,0.032363950314554704,1.99
0.5,0,3,0.07334437086092715,0.035689240753740276,0.12251655629139073,0.04804398459988682,0.28658940397350996,0.07807894270201607,0.03253692905511651,1.26
0.5,10,10,0.07632450331125828,0.035564129446619436,0.12814569536423842,0.04862253021359037,0.3564569536423841,0.08957477079553501,0.03347015666721008,1.26
0.25,500,10,0.07086092715231788,0.03442617188209462,0.12185430463576159,0.047207512193854745,0.33278145695364236,0.08495815381842296,0.033141081076818894,1.19
0.5,100,3,0.07086092715231788,0.03414282290484678,0.11986754966887417,0.04641921876565462,0.27781456953642386,0.07538779654867457,0.03103469592095478,1.27
0.5,100,5,0.07086092715231788,0.033707282219868684,0.12549668874172185,0.04744473174128108,0.3172185430463576,0.08204812963765042,0.03164882971124707,1.31
0.5,0,20,0.0706953642384106,0.03368698081057017,0.12433774834437086,0.04703913429815045,0.35529801324503313,0.08833270358259232,0.03316620456631011,1.3
0.5,10,20,0.07019867549668875,0.03342304739577704,0.12251655629139073,0.04649914628044474,0.35149006622516554,0.0875594205796806,0.032963667044524254,1.34
0.25,100,10,0.06788079470198675,0.03342132807985507,0.11490066225165563,0.0452304259358244,0.33245033112582784,0.08395942157410764,0.03263291857512455,1.26
0.5,100,10,0.07036423841059603,0.033335054112354844,0.123841059602649,0.04676913752067574,0.3425496688741722,0.08591317062220769,0.0321237801442021,1.38
0.25,100,5,0.0673841059602649,0.03317377069062838,0.11572847682119206,0.045274496792173456,0.3119205298013245,0.08058646280826136,0.03176179009793454,1.18
0.25,100,50,0.07052980132450332,0.033033285877826946,0.11771523178807947,0.04488835062251863,0.32880794701986754,0.08269673230617777,0.03195397611884782,1.22
0.25,100,20,0.07036423841059603,0.03298221026172795,0.11721854304635762,0.04469648577094854,0.33195364238410596,0.08318971838654039,0.03166219485054877,1.25
0.5,10,50,0.06705298013245033,0.0328165423401919,0.11076158940397351,0.043734547110035514,0.33427152317880793,0.08346895725726877,0.03245047987345226,1.26
0.5,0,50,0.06771523178807946,0.032682183149475415,0.11258278145695365,0.04387081369614858,0.33675496688741724,0.08373838766807022,0.03217015044278415,1.85
0.25,500,20,0.06688741721854305,0.032565073959520914,0.1162251655629139,0.044947586934672434,0.3256622516556291,0.08243771669763635,0.032146724109742085,1.28
0.25,100,100,0.06771523178807946,0.03251018617672277,0.11241721854304636,0.043722051175962236,0.3210264900662252,0.08104530576275493,0.03185375204323969,1.29
0.5,100,20,0.06771523178807946,0.032452648573076115,0.11225165562913907,0.043559945733632324,0.34072847682119206,0.08448155979371007,0.03173387885562339,1.34
0.25,10,3,0.06622516556291391,0.03243948242978132,0.10695364238410596,0.04264806915036896,0.24900662251655628,0.06844879362646236,0.029394314095617484,1.32
0.25,500,5,0.06887417218543046,0.032420591856920485,0.11688741721854305,0.0444669422069229,0.31009933774834436,0.07918598769579312,0.03016484656190331,1.27
0.25,100,3,0.06506622516556292,0.03213136711217898,0.10513245033112582,0.04221154307594516,0.26688741721854303,0.07172905727948466,0.02986116350588361,1.28
0.25,10,10,0.06622516556291391,0.03199525777978224,0.10860927152317881,0.04269194342615297,0.30910596026490067,0.078575534406553,0.030666942779816936,1.32
0.25,10,20,0.06804635761589405,0.03191260666608631,0.11490066225165563,0.0436695001801467,0.31043046357615894,0.07866315732058261,0.030637023725325147,1.24
0.25,10,5,0.06407284768211921,0.031819360285691344,0.11009933774834436,0.04344004078508108,0.28741721854304636,0.0753738190408382,0.030456118653742273,1.32
0.25,500,50,0.06456953642384106,0.031678605161637965,0.10711920529801325,0.042297422192513305,0.3074503311258278,0.07801871499867506,0.03114263085190401,1.2
0.5,500,5,0.06324503311258278,0.0313143635067136,0.11059602649006622,0.04320359511670519,0.2705298013245033,0.07242350131634057,0.02936510431002171,1.24
0.0,500,20,0.06456953642384106,0.03118230075641538,0.1140728476821192,0.0434014953214912,0.308112582781457,0.07775528657312875,0.0304762394276107,1.28
0.25,10,50,0.06672185430463576,0.03114750984752235,0.11688741721854305,0.043661953867508534,0.31986754966887415,0.07984909468827339,0.030420796519705588,1.28
0.25,0,5,0.062417218543046354,0.03114545769893702,0.10447019867549669,0.041716420876908515,0.27119205298013244,0.07170708195728542,0.02952693036642433,1.27
0.0,500,10,0.06324503311258278,0.03080962855874044,0.10513245033112582,0.041311670582887684,0.31374172185430466,0.07856890822149465,0.030150962959417032,1.37
0.25,10,100,0.06324503311258278,0.030714808666855987,0.11225165562913907,0.043054352296186045,0.31456953642384106,0.07909916408470413,0.030956730400169195,1.23
0.25,10,200,0.06225165562913907,0.030580602447633005,0.11208609271523179,0.04305426337319135,0.30033112582781457,0.07660545265184225,0.03074928670579192,1.34
0.25,500,3,0.06142384105960265,0.030544144095232907,0.11043046357615895,0.042805532277907433,0.27549668874172184,0.07283551051642335,0.029198166385249368,1.26
0.5,500,10,0.06175496688741722,0.030337691375741507,0.10612582781456954,0.04148627269297493,0.31125827814569534,0.07843858764927333,0.029451090641794127,1.38
0.25,0,10,0.06341059602649006,0.03033599407087597,0.10380794701986755,0.040437393825296895,0.29205298013245035,0.07405274284322973,0.028856591617659216,1.22
0.25,0,200,0.062417218543046354,0.03029208178080298,0.10778145695364238,0.04167800765094475,0.30115894039735097,0.07624899049746112,0.030131339059942988,1.39
