epochs,factors,learning_rate,regularization,hr@10,ndcg@10,hr@20,ndcg@20,hr@100,ndcg@100,mrr,seconds
400,512,0.05,0.001,0.09735099337748344,0.04658733703127519,0.16473509933774835,0.06349779949221547,0.4423841059602649,0.11321965010116858,0.04424748507583433,288.74
200,512,0.05,0.001,0.09635761589403974,0.045320154639083864,0.1632450331125828,0.06213637580853447,0.43460264900662254,0.1108470058532954,0.042890001673623245,146.05
200,256,0.05,0.001,0.0913907284768212,0.044970346121813894,0.15612582781456955,0.06121118587690294,0.41821192052980133,0.1081093228991829,0.04337848444792277,79.35
400,256,0.05,0.001,0.08774834437086093,0.042242760117037134,0.15033112582781458,0.05795002485579969,0.4198675496688742,0.10629191478415682,0.04089177457347352,152.1
