model,mae,rmae,rmse,smape,profit_per_day,vcr,kendall,spearman
オラクル(真の価格),0.0,0.0,0.0,0.0,2288.2519579319037,1.0,1.0,1.0
LightGBM (L2) ★基準,3.544836876919723,0.7141724702345733,5.355395727379467,21.81649832981938,1461.1692960477067,0.6385526257205937,0.5933336862634532,0.7405396168961507
LightGBM (q50),3.422136306262982,0.6894521875564994,5.119071918422487,21.364389474058086,1484.3929628924946,0.6487017121287955,0.5933575891633022,0.744126136105425
persistence D-1,4.344611486486486,0.875301748781661,6.880450184471289,26.462985330706733,976.3382592758118,0.4266742811653553,0.4626870917794262,0.5788654099885695
persistence D-7,4.9635585585585575,1.0,7.311580739170252,29.698541299266417,1090.806412193969,0.47669855953267815,0.4820794350468696,0.6066112304562646
