model,mae,rmse,mae_ratio
persistence D-1,1.6584274193548385,2.265138825292936,35.07444867049854
persistence D-7,1.9029838709677418,2.642766476731842,40.24662721086115
前日の日平均,1.676116711469534,2.228325598165172,35.44856342587065
全期間平均(定数),1.5471148103451313,2.2556750106013514,32.72027365775722
LightGBM (iter=1),1.5388111837460168,2.2415210398636978,32.544658420375924
LightGBM (募集量なし),1.5389531298622292,2.2391379909368103,32.547660470214815
