単位[MW平均],,,供給力
DATE,TIME,エリア需要,原子力,火力(LNG),火力(石炭),火力(石油),火力(その他),水力,地熱,バイオマス,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2024/2/1,0:00,28755,0,12261,6390,798,1796,957,0,466,0,0,85,0,175,0,5527,297,28752
2024/2/1,0:30,27625,0,11789,6391,800,1790,952,0,465,0,0,93,0,34,0,4962,346,27622
2024/2/1,1:00,27195,0,11976,6390,799,1799,933,0,465,0,0,94,0,0,0,4386,350,27192
2024/2/1,1:30,26934,0,11621,6392,800,1817,934,0,465,0,0,92,0,0,0,4447,364,26932
2024/2/1,2:00,26804,0,11989,6393,800,1796,921,0,466,0,0,96,0,0,0,3980,359,26800
2024/2/1,2:30,26810,0,12048,6391,800,1817,944,0,466,0,0,104,0,0,0,3879,358,26807
2024/2/1,3:00,26895,0,12286,6390,739,1846,963,0,466,0,0,108,0,0,0,3736,358,26892
2024/2/1,3:30,26864,0,12301,6391,699,1788,991,0,466,0,0,109,0,0,0,3765,349,26859
2024/2/1,4:00,27085,0,12416,6391,699,1811,1058,0,465,0,0,109,0,0,0,3787,346,27082
2024/2/1,4:30,27483,0,12700,6391,699,1837,1073,0,466,0,0,109,0,0,0,3889,317,27481
2024/2/1,5:00,28426,0,13236,6393,699,1793,1161,0,464,0,0,106,0,0,0,4204,368,28424
2024/2/1,5:30,29469,0,14166,6391,698,1786,1175,0,463,0,0,105,0,37,0,4316,329,29466
2024/2/1,6:00,31393,0,15070,6391,755,1691,1776,0,467,0,0,108,0,192,0,4565,374,31389
2024/2/1,6:30,33217,0,16296,6389,948,1590,1801,0,465,4,0,110,0,296,0,4982,333,33214
2024/2/1,7:00,34407,0,17107,6411,1047,1613,1788,0,464,301,0,113,0,557,0,4680,322,34403
2024/2/1,7:30,35363,0,16985,6459,1051,1693,1781,0,463,1766,0,118,0,561,0,4179,303,35359
2024/2/1,8:00,36394,0,16793,6502,1051,1668,1652,0,457,3557,0,120,0,411,0,3857,321,36389
2024/2/1,8:30,37116,0,16129,6529,1052,1695,1638,0,456,5560,0,157,0,95,0,3469,333,37113
2024/2/1,9:00,37570,0,14701,6636,1051,1691,1603,0,451,7512,0,177,0,-1,0,3404,342,37567
2024/2/1,9:30,37465,0,12352,6669,1056,1654,1579,0,451,9004,0,145,0,-5,0,4191,365,37461
2024/2/1,10:00,36786,0,11470,6300,854,1654,1163,0,448,10164,0,148,0,-239,0,4452,369,36783
2024/2/1,10:30,36397,0,11006,6377,764,1672,1154,0,447,10992,0,148,0,-923,0,4369,387,36393
2024/2/1,11:00,36688,0,11560,6414,652,1708,953,0,445,11484,0,139,0,-1580,0,4538,371,36684
2024/2/1,11:30,36751,0,12180,6438,615,1694,956,0,445,11237,0,134,0,-1845,0,4517,378,36749
2024/2/1,12:00,35469,0,11614,6439,615,1673,952,0,446,10495,0,143,0,-1892,0,4618,363,35466
2024/2/1,12:30,34869,0,11522,6438,615,1662,955,0,445,9714,0,147,0,-1335,0,4337,367,34867
2024/2/1,13:00,35600,0,12342,6437,615,1638,976,0,443,9047,0,151,0,-732,0,4357,323,35597
2024/2/1,13:30,35287,0,12444,6437,615,1656,979,0,445,8248,0,159,0,-530,0,4508,323,35284
2024/2/1,14:00,35295,0,12780,6816,670,1623,993,0,442,7495,0,166,0,-358,0,4347,318,35292
2024/2/1,14:30,35389,0,13248,6965,844,1625,997,0,442,6431,0,176,0,0,0,4341,317,35386
2024/2/1,15:00,35510,0,14393,6966,959,1616,1266,0,443,4992,0,183,0,0,0,4360,330,35508
2024/2/1,15:30,36210,0,16736,6965,1112,1605,1299,0,443,3241,0,180,0,20,0,4279,324,36204
2024/2/1,16:00,36987,0,18272,6964,1152,1634,1680,0,444,1660,0,185,0,247,0,4408,337,36983
2024/2/1,16:30,37887,0,19640,6965,1153,1650,1730,0,445,437,0,192,0,377,0,4971,323,37883
2024/2/1,17:00,38870,0,20261,6962,1153,1668,1782,0,443,1,0,191,0,559,0,5538,309,38867
2024/2/1,17:30,39700,0,20480,6962,1153,1649,1796,0,444,0,0,193,0,853,0,5867,300,39697
2024/2/1,18:00,39932,0,20505,6963,1154,1684,1877,0,448,0,0,188,0,783,0,6010,317,39929
2024/2/1,18:30,40047,0,20549,6965,1154,1683,1876,0,447,0,0,182,0,682,0,6189,316,40043
2024/2/1,19:00,39699,0,20368,6964,1154,1677,1851,0,447,0,0,181,0,425,0,6328,299,39694
2024/2/1,19:30,39481,0,20511,6963,1156,1665,1813,0,448,0,0,190,0,379,0,6046,308,39479
2024/2/1,20:00,39034,0,20372,6964,1156,1617,1709,0,447,0,0,197,0,332,0,5938,300,39032
2024/2/1,20:30,38643,0,20071,6963,1155,1622,1706,0,447,0,0,193,0,240,0,5935,308,38640
2024/2/1,21:00,37710,0,19452,6963,1154,1619,1598,0,446,0,0,188,0,114,0,5873,300,37707
2024/2/1,21:30,36721,0,18416,6963,1154,1639,1565,0,448,0,0,195,0,0,0,6026,311,36717
2024/2/1,22:00,35720,0,18038,6962,1144,1540,1405,0,446,0,0,187,0,0,0,5709,285,35716
2024/2/1,22:30,34554,0,16960,6964,1139,1575,1394,0,447,0,0,173,0,0,0,5602,297,34551
2024/2/1,23:00,33484,0,16491,6962,1104,1588,1035,0,447,0,0,181,0,0,0,5381,292,33481
2024/2/1,23:30,32227,0,16404,6962,1013,1536,990,0,446,0,0,173,0,0,0,4384,316,32224
2024/2/2,0:00,30866,0,15239,6961,817,1561,978,0,439,0,0,190,0,0,0,4385,293,30863
2024/2/2,0:30,29741,0,14443,6961,817,1499,971,0,438,0,0,190,0,0,0,4074,344,29737
2024/2/2,1:00,29286,0,14281,6962,817,1574,969,0,438,0,0,195,0,0,0,3704,344,29284
2024/2/2,1:30,28937,0,14032,6963,818,1656,966,0,439,0,0,195,0,0,0,3506,359,28934
