単位[万kWh]
DATE,TIME,東京エリア需要,供給力
,,,原子力,火力,水力,地熱,バイオマス,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,連系線,合計
2023/4/1,0:00,2338,0,1926,145,0,29,0,0,9,0,45,184,2338
2023/4/1,1:00,2246,0,1900,146,0,29,0,0,9,0,0,162,2246
2023/4/1,2:00,2241,0,1897,146,0,29,0,0,10,0,2,157,2241
2023/4/1,3:00,2264,0,1929,154,0,29,0,0,10,0,5,137,2264
2023/4/1,4:00,2280,0,1902,147,0,29,0,0,8,0,43,151,2280
2023/4/1,5:00,2280,0,1827,149,0,29,2,0,6,0,167,100,2280
2023/4/1,6:00,2255,0,1560,149,0,29,137,0,4,0,245,131,2255
2023/4/1,7:00,2298,0,1356,138,0,29,500,0,2,0,-83,356,2298
2023/4/1,8:00,2460,0,1227,144,0,29,919,0,3,0,-312,450,2460
2023/4/1,9:00,2603,0,1148,144,0,28,1241,0,3,0,-428,467,2603
2023/4/1,10:00,2689,0,1143,152,0,28,1454,0,3,0,-503,412,2689
2023/4/1,11:00,2735,0,1163,147,0,28,1547,0,3,0,-565,412,2735
2023/4/1,12:00,2700,0,1138,142,0,28,1522,0,4,0,-559,425,2700
2023/4/1,13:00,2654,0,1125,137,0,28,1376,0,4,0,-442,426,2654
2023/4/1,14:00,2598,0,1137,134,0,28,1114,0,4,0,-287,468,2598
2023/4/1,15:00,2560,0,1270,139,0,28,758,0,4,0,-68,429,2560
2023/4/1,16:00,2553,0,1574,158,0,28,356,0,4,0,45,388,2553
2023/4/1,17:00,2600,0,1923,173,0,28,66,0,4,0,106,300,2600
2023/4/1,18:00,2732,0,1988,183,0,28,0,0,4,0,228,301,2732
2023/4/1,19:00,2716,0,1994,183,0,28,0,0,3,0,240,268,2716
2023/4/1,20:00,2645,0,1998,164,0,28,0,0,3,0,117,335,2645
2023/4/1,21:00,2527,0,1898,151,0,28,0,0,3,0,76,371,2527
2023/4/1,22:00,2412,0,1896,139,0,28,0,0,3,0,60,286,2412
2023/4/1,23:00,2320,0,1837,135,0,28,0,0,3,0,14,303,2320
2023/4/2,0:00,2175,0,1726,143,0,28,0,0,2,0,0,276,2175
2023/4/2,1:00,2100,0,1684,144,0,28,0,0,3,0,0,241,2100
2023/4/2,2:00,2099,0,1685,156,0,28,0,0,3,0,0,227,2099
2023/4/2,3:00,2126,0,1697,156,0,28,0,0,4,0,12,229,2126
2023/4/2,4:00,2130,0,1709,151,0,28,0,0,4,0,24,214,2130
2023/4/2,5:00,2130,0,1756,149,0,28,3,0,5,0,0,189,2130
2023/4/2,6:00,2123,0,1613,157,0,28,68,0,5,0,0,252,2123
2023/4/2,7:00,2206,0,1434,155,0,28,224,0,6,0,0,359,2206
2023/4/2,8:00,2343,0,1311,149,0,28,462,0,6,0,0,387,2343
2023/4/2,9:00,2450,0,1217,142,0,28,710,0,6,0,-46,393,2450
2023/4/2,10:00,2525,0,1166,145,0,28,921,0,7,0,-152,410,2525
2023/4/2,11:00,2589,0,1192,140,0,28,980,0,8,0,-186,427,2589
2023/4/2,12:00,2561,0,1200,132,0,28,882,0,8,0,-166,477,2561
2023/4/2,13:00,2539,0,1211,131,0,28,781,0,9,0,-113,492,2539
2023/4/2,14:00,2502,0,1278,134,0,28,654,0,11,0,-77,474,2502
2023/4/2,15:00,2504,0,1527,140,0,28,480,0,12,0,-59,376,2504
2023/4/2,16:00,2531,0,1715,168,0,28,209,0,13,0,26,372,2531
2023/4/2,17:00,2663,0,1963,178,0,28,35,0,14,0,82,363,2663
2023/4/2,18:00,2832,0,2132,185,0,28,0,0,15,0,142,330,2832
2023/4/2,19:00,2813,0,2102,184,0,28,0,0,15,0,168,316,2813
2023/4/2,20:00,2748,0,2085,172,0,28,0,0,15,0,85,363,2748
2023/4/2,21:00,2640,0,2055,160,0,28,0,0,14,0,11,372,2640
2023/4/2,22:00,2494,0,1931,146,0,28,0,0,14,0,0,375,2494
2023/4/2,23:00,2362,0,1855,137,0,28,0,0,13,0,0,329,2362
2023/4/3,0:00,2197,0,1808,141,0,28,0,0,10,0,7,203,2197
2023/4/3,1:00,2126,0,1767,145,0,28,0,0,10,0,14,162,2126
2023/4/3,2:00,2138,0,1784,154,0,28,0,0,9,0,4,159,2138
2023/4/3,3:00,2185,0,1791,158,0,28,0,0,10,0,0,198,2185
2023/4/3,4:00,2236,0,1857,153,0,28,0,0,10,0,0,188,2236
2023/4/3,5:00,2325,0,1938,154,0,28,3,0,10,0,0,192,2325
2023/4/3,6:00,2457,0,1875,166,0,28,121,0,10,0,0,257,2457
2023/4/3,7:00,2639,0,1710,166,0,28,423,0,10,0,0,302,2639
2023/4/3,8:00,2932,0,1511,166,0,28,844,0,9,0,-30,404,2932
2023/4/3,9:00,3217,0,1400,136,0,27,1202,0,9,0,-84,527,3217
2023/4/3,10:00,3259,0,1340,131,0,27,1344,0,9,0,-153,561,3259
2023/4/3,11:00,3270,0,1327,125,0,27,1468,0,9,0,-225,539,3270
2023/4/3,12:00,3138,0,1292,118,0,27,1491,0,9,0,-365,566,3138
2023/4/3,13:00,3168,0,1344,118,0,27,1386,0,9,0,-267,551,3168
2023/4/3,14:00,3109,0,1403,124,0,27,1151,0,9,0,-146,541,3109
2023/4/3,15:00,3054,0,1660,134,0,27,799,0,9,0,-11,436,3054
2023/4/3,16:00,3058,0,2027,164,0,27,373,0,8,0,113,346,3058
2023/4/3,17:00,3059,0,2251,183,0,28,70,0,8,0,278,241,3059
2023/4/3,18:00,3175,0,2387,188,0,27,0,0,7,0,306,260,3175
2023/4/3,19:00,3132,0,2324,188,0,27,0,0,7,0,300,286,3132
2023/4/3,20:00,3033,0,2304,175,0,27,0,0,5,0,216,306,3033
2023/4/3,21:00,2894,0,2281,165,0,27,0,0,5,0,145,271,2894
2023/4/3,22:00,2748,0,2261,139,0,28,0,0,5,0,63,252,2748
2023/4/3,23:00,2597,0,2176,127,0,28,0,0,5,0,9,252,2597
2023/4/4,0:00,2403,0,1989,149,0,28,0,0,4,0,0,233,2403
2023/4/4,1:00,2310,0,1952,145,0,28,0,0,4,0,0,181,2310
2023/4/4,2:00,2321,0,1963,147,0,28,0,0,3,0,0,180,2321
2023/4/4,3:00,2366,0,1991,151,0,28,0,0,3,0,0,193,2366
2023/4/4,4:00,2416,0,2061,153,0,28,0,0,3,0,10,161,2416
2023/4/4,5:00,2488,0,2112,152,0,28,3,0,3,0,71,119,2488
2023/4/4,6:00,2594,0,1948,167,0,28,156,0,3,0,30,262,2594
2023/4/4,7:00,2718,0,1637,164,0,28,532,0,2,0,-25,380,2718
2023/4/4,8:00,2993,0,1502,154,0,27,954,0,2,0,-119,473,2993
2023/4/4,9:00,3193,0,1373,140,0,27,1267,0,2,0,-135,519,3193
2023/4/4,10:00,3256,0,1337,138,0,27,1473,0,2,0,-237,516,3256
2023/4/4,11:00,3272,0,1343,129,0,27,1565,0,2,0,-298,504,3272
2023/4/4,12:00,3138,0,1360,123,0,27,1543,0,1,0,-409,493,3138
2023/4/4,13:00,3181,0,1387,116,0,27,1398,0,2,0,-258,509,3181
2023/4/4,14:00,3136,0,1470,117,0,27,1132,0,2,0,-85,473,3136
2023/4/4,15:00,3104,0,1758,143,0,27,741,0,2,0,19,414,3104
2023/4/4,16:00,3077,0,2096,170,0,27,320,0,1,0,77,386,3077
2023/4/4,17:00,3021,0,2283,183,0,28,56,0,1,0,139,331,3021
2023/4/4,18:00,3131,0,2356,186,0,27,0,0,1,0,222,339,3131
