単位[万kWh]
DATE,TIME,東京エリア需要,供給力
,,,原子力,火力,水力,地熱,バイオマス,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,連系線,合計
2023/4/4,19:00,3078,0,2362,189,0,28,0,0,1,0,166,332,3078
2023/4/4,20:00,2979,0,2360,179,0,28,0,0,1,0,70,341,2979
2023/4/4,21:00,2843,0,2288,160,0,29,0,0,1,0,18,347,2843
2023/4/4,22:00,2708,0,2210,145,0,30,0,0,2,0,6,315,2708
2023/4/4,23:00,2557,0,2078,137,0,30,0,0,1,0,0,311,2557
2023/4/5,0:00,2377,0,1912,144,0,30,0,0,2,0,1,288,2377
2023/4/5,1:00,2288,0,1908,144,0,30,0,0,2,0,6,198,2288
2023/4/5,2:00,2300,0,1942,149,0,30,0,0,2,0,0,177,2300
2023/4/5,3:00,2333,0,2006,155,0,30,0,0,2,0,0,140,2333
2023/4/5,4:00,2383,0,2037,145,0,30,0,0,2,0,0,169,2383
2023/4/5,5:00,2425,0,2063,148,0,30,4,0,2,0,0,178,2425
2023/4/5,6:00,2518,0,1955,160,0,30,92,0,2,0,0,279,2518
2023/4/5,7:00,2657,0,1886,161,0,30,262,0,2,0,20,296,2657
2023/4/5,8:00,2924,0,1678,148,0,30,692,0,2,0,-7,381,2924
2023/4/5,9:00,3186,0,1612,129,0,29,1132,0,2,0,-73,355,3186
2023/4/5,10:00,3222,0,1550,121,0,29,1272,0,2,0,-104,352,3222
2023/4/5,11:00,3247,0,1523,114,0,28,1368,0,2,0,-138,350,3247
2023/4/5,12:00,3192,0,1613,108,0,29,1227,0,2,0,-258,471,3192
2023/4/5,13:00,3088,0,1657,107,0,29,871,0,2,0,-107,529,3088
2023/4/5,14:00,3092,0,1827,108,0,29,767,0,3,0,-61,419,3092
2023/4/5,15:00,3089,0,2065,130,0,29,490,0,3,0,23,349,3089
2023/4/5,16:00,3069,0,2259,167,0,29,210,0,3,0,61,340,3069
2023/4/5,17:00,3055,0,2395,179,0,29,37,0,4,0,107,304,3055
2023/4/5,18:00,3136,0,2471,183,0,29,0,0,5,0,136,312,3136
2023/4/5,19:00,3063,0,2431,186,0,29,0,0,5,0,101,311,3063
2023/4/5,20:00,2951,0,2346,174,0,29,0,0,5,0,49,348,2951
2023/4/5,21:00,2798,0,2251,168,0,29,0,0,6,0,26,318,2798
2023/4/5,22:00,2674,0,2169,148,0,29,0,0,6,0,10,312,2674
2023/4/5,23:00,2525,0,2045,136,0,29,0,0,6,0,0,309,2525
2023/4/6,0:00,2353,0,1907,140,0,29,0,0,11,0,0,266,2353
2023/4/6,1:00,2262,0,1883,141,0,29,0,0,12,0,0,197,2262
2023/4/6,2:00,2265,0,1942,144,0,29,0,0,12,0,0,138,2265
2023/4/6,3:00,2293,0,1969,146,0,29,0,0,12,0,0,137,2293
2023/4/6,4:00,2319,0,1981,137,0,29,0,0,13,0,11,148,2319
2023/4/6,5:00,2360,0,1985,138,0,29,4,0,13,0,13,178,2360
2023/4/6,6:00,2446,0,1925,136,0,29,76,0,13,0,3,264,2446
2023/4/6,7:00,2643,0,2007,136,0,29,177,0,13,0,0,281,2643
2023/4/6,8:00,2931,0,2041,157,0,28,374,0,13,0,0,318,2931
2023/4/6,9:00,3149,0,2116,148,0,28,517,0,14,0,17,309,3149
2023/4/6,10:00,3163,0,2012,143,0,28,598,0,14,0,0,368,3163
2023/4/6,11:00,3135,0,1924,127,0,28,681,0,16,0,0,359,3135
2023/4/6,12:00,3046,0,1734,116,0,29,822,0,15,0,-31,361,3046
2023/4/6,13:00,3144,0,1829,121,0,29,829,0,16,0,-5,325,3144
2023/4/6,14:00,3145,0,1997,129,0,29,715,0,16,0,0,259,3145
2023/4/6,15:00,3118,0,2160,136,0,29,538,0,16,0,19,220,3118
2023/4/6,16:00,3110,0,2276,173,0,29,290,0,15,0,85,242,3110
2023/4/6,17:00,3076,0,2400,186,0,29,64,0,16,0,89,292,3076
2023/4/6,18:00,3138,0,2416,194,0,29,0,0,17,0,104,378,3138
2023/4/6,19:00,3066,0,2417,194,0,29,0,0,17,0,43,366,3066
2023/4/6,20:00,2942,0,2322,175,0,29,0,0,16,0,1,399,2942
2023/4/6,21:00,2795,0,2156,158,0,29,0,0,16,0,0,436,2795
2023/4/6,22:00,2665,0,2041,141,0,29,0,0,17,0,0,437,2665
2023/4/6,23:00,2529,0,1981,128,0,29,0,0,16,0,0,375,2529
2023/4/7,0:00,2349,0,1901,148,0,29,0,0,17,0,0,254,2349
2023/4/7,1:00,2258,0,1836,148,0,29,0,0,17,0,0,228,2258
2023/4/7,2:00,2255,0,1863,156,0,29,0,0,17,0,0,190,2255
2023/4/7,3:00,2288,0,1908,156,0,29,0,0,17,0,0,178,2288
2023/4/7,4:00,2311,0,1926,153,0,29,0,0,18,0,0,185,2311
2023/4/7,5:00,2326,0,1892,160,0,28,5,0,18,0,0,223,2326
2023/4/7,6:00,2427,0,1930,174,0,28,76,0,19,0,0,200,2427
2023/4/7,7:00,2665,0,2047,178,0,28,196,0,19,0,0,197,2665
2023/4/7,8:00,2932,0,2124,185,0,28,314,0,20,0,0,261,2932
2023/4/7,9:00,3150,0,2288,173,0,27,432,0,19,0,0,211,3150
2023/4/7,10:00,3207,0,2288,163,0,27,563,0,19,0,0,147,3207
2023/4/7,11:00,3260,0,2322,156,0,28,527,0,19,0,21,187,3260
2023/4/7,12:00,3074,0,2200,151,0,28,456,0,19,0,5,215,3074
2023/4/7,13:00,3176,0,2360,145,0,28,398,0,19,0,33,193,3176
2023/4/7,14:00,3207,0,2491,160,0,28,300,0,19,0,77,132,3207
2023/4/7,15:00,3148,0,2498,167,0,28,146,0,19,0,95,195,3148
2023/4/7,16:00,3140,0,2473,193,0,28,61,0,20,0,143,222,3140
2023/4/7,17:00,3122,0,2380,211,0,28,14,0,20,0,195,274,3122
2023/4/7,18:00,3146,0,2433,216,0,28,0,0,20,0,189,260,3146
2023/4/7,19:00,3051,0,2382,221,0,27,0,0,18,0,165,238,3051
2023/4/7,20:00,2924,0,2313,214,0,27,0,0,19,0,103,248,2924
2023/4/7,21:00,2777,0,2182,195,0,27,0,0,18,0,79,276,2777
2023/4/7,22:00,2662,0,2159,191,0,28,0,0,19,0,38,227,2662
2023/4/7,23:00,2527,0,2026,186,0,28,0,0,18,0,22,247,2527
2023/4/8,0:00,2357,0,1797,181,0,27,0,0,19,0,21,312,2357
2023/4/8,1:00,2258,0,1737,179,0,27,0,0,19,0,16,280,2258
2023/4/8,2:00,2239,0,1732,181,0,27,0,0,20,0,14,265,2239
2023/4/8,3:00,2254,0,1826,188,0,27,0,0,19,0,14,180,2254
2023/4/8,4:00,2252,0,1857,182,0,27,0,0,17,0,31,138,2252
2023/4/8,5:00,2225,0,1829,178,0,28,6,0,15,0,29,140,2225
2023/4/8,6:00,2200,0,1686,177,0,28,99,0,13,0,2,195,2200
2023/4/8,7:00,2288,0,1578,174,0,27,322,0,11,0,-56,232,2288
2023/4/8,8:00,2478,0,1476,183,0,27,549,0,9,0,-9,243,2478
2023/4/8,9:00,2589,0,1458,177,0,28,703,0,7,0,0,216,2589
2023/4/8,10:00,2668,0,1408,180,0,28,831,0,7,0,0,214,2668
2023/4/8,11:00,2706,0,1458,171,0,27,792,0,8,0,-17,267,2706
2023/4/8,12:00,2665,0,1462,166,0,27,675,0,11,0,-24,348,2665
2023/4/8,13:00,2652,0,1583,164,0,28,492,0,13,0,23,349,2652
2023/4/8,14:00,2633,0,1712,163,0,28,410,0,16,0,0,304,2633
2023/4/8,15:00,2657,0,1830,171,0,28,301,0,17,0,3,307,2657
2023/4/8,16:00,2679,0,1945,189,0,28,145,0,19,0,37,316,2679
2023/4/8,17:00,2779,0,2085,202,0,28,41,0,20,0,89,314,2779
2023/4/8,18:00,2886,0,2134,206,0,28,0,0,22,0,228,268,2886
2023/4/8,19:00,2862,0,2161,205,0,28,0,0,21,0,207,240,2862
2023/4/8,20:00,2784,0,2162,185,0,28,0,0,19,0,144,246,2784
2023/4/8,21:00,2663,0,2104,180,0,29,0,0,16,0,92,242,2663
2023/4/8,22:00,2546,0,2015,175,0,29,0,0,15,0,46,266,2546
2023/4/8,23:00,2442,0,1934,176,0,29,0,0,13,0,23,267,2442
2023/4/9,0:00,2303,0,1805,184,0,29,0,0,16,0,23,246,2303
2023/4/9,1:00,2225,0,1784,176,0,29,0,0,15,0,12,209,2225
2023/4/9,2:00,2232,0,1824,177,0,29,0,0,14,0,13,175,2232
2023/4/9,3:00,2279,0,1871,175,0,29,0,0,15,0,-1,190,2279
2023/4/9,4:00,2311,0,1871,169,0,29,0,0,17,0,31,194,2311
2023/4/9,5:00,2318,0,1874,165,0,29,8,0,16,0,32,194,2318
2023/4/9,6:00,2279,0,1675,161,0,29,183,0,15,0,26,190,2279
2023/4/9,7:00,2308,0,1326,167,0,27,563,0,14,0,-131,342,2308
2023/4/9,8:00,2456,0,1127,171,0,27,987,0,13,0,-320,451,2456
2023/4/9,9:00,2608,0,1163,162,0,27,1301,0,13,0,-432,374,2608
2023/4/9,10:00,2675,0,1087,163,0,27,1502,0,13,0,-469,352,2675
2023/4/9,11:00,2699,0,1047,146,0,27,1602,0,12,0,-486,351,2699
2023/4/9,12:00,2683,0,1060,132,0,27,1579,0,12,0,-486,359,2683
2023/4/9,13:00,2587,0,1065,130,0,27,1434,0,12,0,-456,375,2587
2023/4/9,14:00,2499,0,1122,127,0,27,1177,0,12,0,-408,442,2499
2023/4/9,15:00,2471,0,1218,139,0,27,818,0,12,0,-186,443,2471
2023/4/9,16:00,2499,0,1488,168,0,27,394,0,11,0,20,391,2499
2023/4/9,17:00,2643,0,1727,188,0,27,83,0,11,0,231,376,2643
2023/4/9,18:00,2849,0,1960,190,0,27,0,0,9,0,299,364,2849
2023/4/9,19:00,2881,0,2059,194,0,27,0,0,8,0,287,306,2881
2023/4/9,20:00,2822,0,2046,183,0,27,0,0,8,0,241,317,2822
2023/4/9,21:00,2708,0,1996,173,0,27,0,0,7,0,179,326,2708
2023/4/9,22:00,2559,0,1942,163,0,27,0,0,7,0,90,330,2559
2023/4/9,23:00,2427,0,1947,157,0,27,0,0,6,0,34,256,2427
2023/4/10,0:00,2277,0,1963,156,0,27,0,0,5,0,11,115,2277
2023/4/10,1:00,2206,0,1899,145,0,27,0,0,5,0,-1,131,2206
2023/4/10,2:00,2228,0,1964,146,0,27,0,0,5,0,-1,87,2228
2023/4/10,3:00,2286,0,2012,152,0,27,0,0,5,0,12,78,2286
2023/4/10,4:00,2341,0,2014,158,0,27,0,0,5,0,38,99,2341
2023/4/10,5:00,2431,0,2019,155,0,27,9,0,5,0,90,126,2431
2023/4/10,6:00,2569,0,1916,165,0,27,190,0,5,0,77,189,2569
2023/4/10,7:00,2713,0,1631,163,0,27,576,0,5,0,-15,326,2713
2023/4/10,8:00,2982,0,1516,160,0,27,991,0,5,0,-179,462,2982
2023/4/10,9:00,3180,0,1490,143,0,27,1294,0,5,0,-239,460,3180
2023/4/10,10:00,3242,0,1404,135,0,27,1500,0,4,0,-319,491,3242
2023/4/10,11:00,3267,0,1417,130,0,27,1590,0,5,0,-421,519,3267
2023/4/10,12:00,3151,0,1382,116,0,27,1567,0,7,0,-481,533,3151
2023/4/10,13:00,3183,0,1388,120,0,27,1426,0,8,0,-317,531,3183
2023/4/10,14:00,3123,0,1431,130,0,27,1168,0,9,0,-124,482,3123
2023/4/10,15:00,3075,0,1613,142,0,27,812,0,10,0,3,468,3075
2023/4/10,16:00,3079,0,2026,158,0,27,394,0,9,0,132,333,3079
2023/4/10,17:00,3065,0,2238,173,0,27,85,0,9,0,196,337,3065
2023/4/10,18:00,3153,0,2353,178,0,27,0,0,9,0,282,304,3153
2023/4/10,19:00,3093,0,2274,179,0,27,0,0,9,0,253,351,3093
2023/4/10,20:00,2979,0,2291,164,0,27,0,0,9,0,146,342,2979
2023/4/10,21:00,2833,0,2215,155,0,27,0,0,8,0,76,352,2833
2023/4/10,22:00,2702,0,2146,146,0,27,0,0,9,0,46,328,2702
2023/4/10,23:00,2549,0,2040,134,0,27,0,0,7,0,38,303,2549
2023/4/11,0:00,2362,0,1973,143,0,27,0,0,7,0,7,205,2362
2023/4/11,1:00,2271,0,1898,151,0,27,0,0,7,0,0,188,2271
2023/4/11,2:00,2283,0,1892,151,0,27,0,0,7,0,0,206,2283
2023/4/11,3:00,2324,0,1938,157,0,27,0,0,6,0,0,196,2324
2023/4/11,4:00,2365,0,1965,149,0,27,0,0,6,0,0,218,2365
2023/4/11,5:00,2412,0,1971,148,0,27,10,0,6,0,26,224,2412
2023/4/11,6:00,2502,0,1852,148,0,27,189,0,5,0,17,264,2502
2023/4/11,7:00,2661,0,1569,142,0,27,572,0,5,0,-37,383,2661
2023/4/11,8:00,2943,0,1458,146,0,27,971,0,5,0,-124,460,2943
2023/4/11,9:00,3163,0,1394,142,0,27,1274,0,5,0,-182,503,3163
2023/4/11,10:00,3267,0,1425,134,0,27,1466,0,6,0,-288,497,3267
2023/4/11,11:00,3294,0,1429,127,0,27,1501,0,6,0,-299,503,3294
2023/4/11,12:00,3170,0,1412,117,0,27,1489,0,7,0,-409,527,3170
2023/4/11,13:00,3228,0,1454,117,0,27,1373,0,8,0,-233,482,3228
2023/4/11,14:00,3195,0,1507,131,0,27,1128,0,10,0,-102,494,3195
2023/4/11,15:00,3147,0,1739,144,0,27,778,0,11,0,0,448,3147
2023/4/11,16:00,3121,0,2106,158,0,27,379,0,13,0,84,354,3121
2023/4/11,17:00,3052,0,2319,179,0,27,82,0,15,0,177,253,3052
2023/4/11,18:00,3112,0,2390,187,0,27,0,0,17,0,222,269,3112
2023/4/11,19:00,3036,0,2382,183,0,27,0,0,18,0,172,254,3036
2023/4/11,20:00,2918,0,2313,174,0,27,0,0,19,0,83,302,2918
2023/4/11,21:00,2771,0,2182,158,0,27,0,0,17,0,59,328,2771
2023/4/11,22:00,2648,0,2113,149,0,27,0,0,18,0,37,304,2648
2023/4/11,23:00,2513,0,1999,140,0,27,0,0,18,0,23,306,2513
2023/4/12,0:00,2337,0,1749,139,0,27,0,0,17,0,0,405,2337
2023/4/12,1:00,2251,0,1725,140,0,27,0,0,17,0,0,342,2251
2023/4/12,2:00,2250,0,1754,142,0,27,0,0,17,0,0,310,2250
2023/4/12,3:00,2279,0,1745,154,0,27,0,0,17,0,0,336,2279
2023/4/12,4:00,2301,0,1799,149,0,27,0,0,17,0,0,309,2301
2023/4/12,5:00,2338,0,1815,145,0,28,7,0,17,0,0,326,2338
2023/4/12,6:00,2435,0,1752,145,0,28,103,0,17,0,0,390,2435
2023/4/12,7:00,2615,0,1691,151,0,28,360,0,16,0,31,338,2615
2023/4/12,8:00,2878,0,1642,140,0,28,738,0,15,0,16,299,2878
2023/4/12,9:00,3181,0,1680,139,0,27,1174,0,15,0,-80,226,3181
2023/4/12,10:00,3312,0,1708,135,0,27,1285,0,15,0,-86,228,3312
2023/4/12,11:00,3356,0,1753,131,0,27,1219,0,16,0,-20,230,3356
2023/4/12,12:00,3242,0,1790,129,0,28,1003,0,17,0,2,273,3242
2023/4/12,13:00,3291,0,1923,126,0,27,685,0,17,0,80,433,3291
2023/4/12,14:00,3180,0,2131,127,0,28,390,0,17,0,121,366,3180
2023/4/12,15:00,3103,0,2236,141,0,28,276,0,16,0,52,354,3103
2023/4/12,16:00,3109,0,2254,160,0,28,161,0,16,0,109,381,3109
2023/4/12,17:00,3059,0,2229,185,0,28,44,0,17,0,202,354,3059
2023/4/12,18:00,3117,0,2378,191,0,28,0,0,16,0,200,304,3117
2023/4/12,19:00,3037,0,2416,191,0,27,0,0,15,0,106,282,3037
2023/4/12,20:00,2914,0,2389,180,0,27,0,0,14,0,43,261,2914
2023/4/12,21:00,2750,0,2223,162,0,27,0,0,14,0,0,324,2750
2023/4/12,22:00,2633,0,2101,135,0,27,0,0,15,0,0,355,2633
2023/4/12,23:00,2491,0,1944,131,0,27,0,0,15,0,0,374,2491
2023/4/13,0:00,2333,0,1743,136,0,27,0,0,18,0,0,409,2333
2023/4/13,1:00,2251,0,1728,138,0,27,0,0,18,0,0,340,2251
2023/4/13,2:00,2258,0,1739,145,0,27,0,0,16,0,0,331,2258
2023/4/13,3:00,2302,0,1830,152,0,27,0,0,15,0,11,267,2302
2023/4/13,4:00,2339,0,1857,147,0,27,0,0,13,0,39,256,2339
2023/4/13,5:00,2371,0,1823,146,0,29,13,0,11,0,78,271,2371
2023/4/13,6:00,2459,0,1707,142,0,29,205,0,9,0,29,338,2459
2023/4/13,7:00,2611,0,1418,143,0,29,592,0,8,0,-66,487,2611
2023/4/13,8:00,2906,0,1390,147,0,29,991,0,8,0,-206,547,2906
2023/4/13,9:00,3147,0,1344,132,0,29,1297,0,8,0,-234,571,3147
2023/4/13,10:00,3248,0,1347,135,0,29,1502,0,9,0,-296,522,3248
2023/4/13,11:00,3281,0,1323,132,0,29,1585,0,9,0,-347,550,3281
2023/4/13,12:00,3159,0,1331,120,0,29,1556,0,8,0,-480,595,3159
2023/4/13,13:00,3207,0,1364,120,0,29,1412,0,7,0,-270,545,3207
2023/4/13,14:00,3150,0,1406,121,0,29,1155,0,6,0,-132,565,3150
2023/4/13,15:00,3103,0,1597,136,0,29,811,0,6,0,-31,555,3103
2023/4/13,16:00,3084,0,2034,156,0,29,401,0,5,0,53,406,3084
2023/4/13,17:00,3037,0,2261,183,0,29,91,0,4,0,144,325,3037
2023/4/13,18:00,3107,0,2346,191,0,29,0,0,4,0,232,305,3107
2023/4/13,19:00,3039,0,2334,190,0,29,0,0,6,0,174,306,3039
2023/4/13,20:00,2925,0,2315,180,0,29,0,0,9,0,57,335,2925
2023/4/13,21:00,2778,0,2214,158,0,29,0,0,11,0,35,331,2778
2023/4/13,22:00,2647,0,2126,129,0,28,0,0,12,0,10,342,2647
2023/4/13,23:00,2500,0,1985,124,0,28,0,0,12,0,0,351,2500
2023/4/14,0:00,2322,0,1835,141,0,28,0,0,12,0,0,306,2322
2023/4/14,1:00,2240,0,1758,151,0,28,0,0,12,0,0,291,2240
2023/4/14,2:00,2244,0,1758,148,0,28,0,0,11,0,0,299,2244
2023/4/14,3:00,2284,0,1838,150,0,28,0,0,11,0,0,257,2284
2023/4/14,4:00,2320,0,1878,144,0,28,0,0,10,0,0,260,2320
2023/4/14,5:00,2345,0,1869,149,0,28,14,0,10,0,0,275,2345
2023/4/14,6:00,2437,0,1723,147,0,28,201,0,9,0,-9,338,2437
2023/4/14,7:00,2641,0,1541,150,0,28,565,0,8,0,-72,421,2641
2023/4/14,8:00,2930,0,1485,159,0,27,930,0,8,0,-141,462,2930
2023/4/14,9:00,3170,0,1476,149,0,27,1219,0,8,0,-125,416,3170
2023/4/14,10:00,3253,0,1417,136,0,27,1315,0,8,0,-51,401,3253
2023/4/14,11:00,3262,0,1398,136,0,27,1267,0,9,0,-46,471,3262
2023/4/14,12:00,3088,0,1471,128,0,27,1073,0,9,0,-38,418,3088
2023/4/14,13:00,3089,0,1565,127,0,27,957,0,10,0,25,378,3089
2023/4/14,14:00,3143,0,1692,135,0,27,898,0,12,0,29,350,3143
2023/4/14,15:00,3171,0,1959,147,0,27,613,0,12,0,50,363,3171
2023/4/14,16:00,3099,0,2313,176,0,27,222,0,12,0,77,272,3099
2023/4/14,17:00,3045,0,2341,201,0,27,34,0,11,0,118,313,3045
2023/4/14,18:00,3080,0,2398,200,0,27,0,0,10,0,137,308,3080
2023/4/14,19:00,2985,0,2322,200,0,27,0,0,9,0,116,311,2985
2023/4/14,20:00,2867,0,2204,184,0,27,0,0,8,0,56,388,2867
2023/4/14,21:00,2725,0,2116,170,0,27,0,0,9,0,19,384,2725
2023/4/14,22:00,2609,0,2071,153,0,27,0,0,8,0,9,341,2609
2023/4/14,23:00,2483,0,2009,144,0,27,0,0,6,0,12,285,2483
2023/4/15,0:00,2310,0,1839,151,0,27,0,0,5,0,8,280,2310
2023/4/15,1:00,2212,0,1771,150,0,27,0,0,4,0,14,246,2212
2023/4/15,2:00,2198,0,1773,148,0,27,0,0,4,0,13,233,2198
2023/4/15,3:00,2224,0,1824,145,0,27,0,0,4,0,7,217,2224
2023/4/15,4:00,2230,0,1821,138,0,27,0,0,5,0,12,227,2230
