単位[MW平均],,,供給力
DATE,TIME,エリア需要,原子力,火力(LNG),火力(石炭),火力(石油),火力(その他),水力,地熱,バイオマス,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2025/11/1,0:00,25021,0,13591,3517,291,1054,809,0,479,0,0,326,0,222,2,4628,101,25020
2025/11/1,0:30,23802,0,12283,3515,249,1047,825,0,478,0,0,301,0,39,0,4924,140,23801
2025/11/1,1:00,23337,0,12040,3515,248,1067,844,0,478,0,0,323,0,0,0,4648,173,23336
2025/11/1,1:30,22830,0,11629,3514,248,1046,863,0,480,0,0,298,0,0,0,4573,178,22829
2025/11/1,2:00,22644,0,11461,3516,248,1093,892,0,480,0,0,336,0,0,0,4444,174,22644
2025/11/1,2:30,22698,0,11483,3516,247,1108,946,0,478,0,0,332,0,0,0,4409,179,22698
2025/11/1,3:00,23008,0,11521,3504,248,1111,954,0,480,0,0,380,0,0,0,4632,179,23009
2025/11/1,3:30,22871,0,11480,3366,248,1104,950,0,479,0,0,396,0,0,0,4678,170,22871
2025/11/1,4:00,23165,0,12040,3223,248,1063,955,0,479,0,0,402,0,0,1,4595,159,23165
2025/11/1,4:30,23046,0,11822,3076,248,1062,953,0,480,0,0,402,0,243,2,4627,131,23046
2025/11/1,5:00,23076,0,12084,2586,248,1087,951,0,477,0,0,391,0,312,2,4750,187,23075
2025/11/1,5:30,23203,0,12155,2359,249,1061,924,0,477,0,0,377,0,310,1,5022,268,23203
2025/11/1,6:00,23304,0,12045,2259,248,1010,933,0,478,27,0,366,0,308,1,5354,274,23303
2025/11/1,6:30,23298,0,11309,2206,248,1001,940,0,479,788,0,354,0,286,0,5428,259,23298
2025/11/1,7:00,23650,0,10762,1986,249,1032,953,0,478,2621,0,339,0,74,1,4805,350,23650
2025/11/1,7:30,23959,0,9618,1796,250,1042,960,0,477,4658,0,356,0,-368,1,4833,337,23960
2025/11/1,8:00,24743,0,8974,1768,248,1034,959,0,476,6518,0,363,0,-428,1,4456,373,24742
2025/11/1,8:30,25934,0,9383,1698,249,1042,966,0,476,7653,0,377,0,-520,2,4241,368,25935
2025/11/1,9:00,26581,0,9623,1699,249,1052,959,0,472,7856,0,378,0,-6,2,3954,343,26581
2025/11/1,9:30,26160,0,7951,1696,248,1047,938,0,473,7772,0,377,0,334,2,4985,337,26160
2025/11/1,10:00,26537,0,7861,1697,247,1043,968,0,472,8322,0,379,0,163,2,5088,294,26536
2025/11/1,10:30,26047,0,7475,1707,247,1069,961,0,472,8370,0,379,0,-99,2,5169,294,26046
2025/11/1,11:00,26953,0,8397,1766,248,1088,948,0,473,8893,0,387,0,-286,2,4788,248,26952
2025/11/1,11:30,27275,0,8953,1698,248,1052,916,0,474,8297,0,392,0,254,2,4744,247,27277
2025/11/1,12:00,26127,0,8778,1753,248,1037,920,0,471,7256,0,394,0,339,2,4681,249,26128
2025/11/1,12:30,25959,0,8688,1863,246,1045,921,0,471,7147,0,384,0,147,2,4800,245,25959
2025/11/1,13:00,26216,0,8998,1895,246,1019,937,0,471,6602,0,382,0,300,2,5110,254,26216
2025/11/1,13:30,25600,0,8861,1978,247,1033,945,0,471,6022,0,375,0,239,3,5168,256,25598
2025/11/1,14:00,26146,0,9917,2176,246,1039,945,0,471,5455,0,367,0,40,2,5233,255,26146
2025/11/1,14:30,25584,0,10493,2333,248,1056,938,0,471,4222,0,363,0,130,2,5068,260,25584
2025/11/1,15:00,25495,0,11020,2730,247,1049,927,0,470,3284,0,322,0,105,1,5082,258,25495
2025/11/1,15:30,26031,0,12603,3098,247,1035,925,0,470,2104,0,308,0,208,2,4775,258,26033
2025/11/1,16:00,26376,0,13465,3303,246,1019,1012,0,471,876,0,291,0,524,7,4900,261,26375
2025/11/1,16:30,26762,0,14207,3421,247,1030,1029,0,471,40,0,261,0,653,16,5084,303,26762
2025/11/1,17:00,27571,0,14755,3463,247,1075,993,0,474,0,0,255,0,999,30,4953,327,27571
2025/11/1,17:30,27814,0,14920,3512,247,1061,963,0,474,0,0,229,0,1103,28,4951,327,27815
2025/11/1,18:00,27809,0,14933,3513,246,1043,1059,0,477,0,0,227,0,1035,29,4893,354,27809
2025/11/1,18:30,27727,0,15001,3515,247,1041,1067,0,477,0,0,243,0,967,26,4791,352,27727
2025/11/1,19:00,27496,0,14789,3514,247,1062,1086,0,477,0,0,251,0,755,21,4933,361,27496
2025/11/1,19:30,27190,0,14775,3514,246,1062,1088,0,478,0,0,271,0,680,16,4696,362,27188
2025/11/1,20:00,26782,0,14279,3516,246,1073,1000,0,479,0,0,251,0,555,11,5013,359,26782
2025/11/1,20:30,26369,0,14285,3515,247,1086,968,0,480,0,0,256,0,396,5,4766,365,26369
2025/11/1,21:00,25764,0,13900,3515,247,1084,861,0,481,0,0,267,0,73,0,5028,308,25764
2025/11/1,21:30,25177,0,13449,3515,248,1059,854,0,482,0,0,269,0,0,0,4988,313,25177
2025/11/1,22:00,24877,0,13469,3516,247,1035,834,0,480,0,0,262,0,0,4,4755,277,24879
2025/11/1,22:30,24284,0,12942,3516,248,1009,853,0,481,0,0,257,0,0,0,4692,287,24285
2025/11/1,23:00,23838,0,12463,3515,247,1004,855,0,480,0,0,239,0,0,0,4797,239,23839
