単位[MW平均],,,供給力
DATE,TIME,エリア需要,原子力,火力(LNG),火力(石炭),火力(石油),火力(その他),水力,地熱,バイオマス,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2025/12/1,0:00,25522,0,10799,6156,378,1653,713,0,515,0,0,160,0,-392,0,5453,87,25522
2025/12/1,0:30,24506,0,10418,6168,379,1618,716,0,511,0,0,161,0,-1173,0,5612,98,24508
2025/12/1,1:00,24317,0,10288,6168,379,1608,724,0,512,0,0,150,0,-1175,0,5528,134,24316
2025/12/1,1:30,24057,0,10296,6169,379,1651,735,0,512,0,0,170,0,-1369,0,5374,140,24057
2025/12/1,2:00,24169,0,10686,6170,378,1651,699,0,512,0,0,157,0,-1396,0,5166,146,24169
2025/12/1,2:30,24282,0,10946,6165,378,1592,617,0,511,0,0,164,0,-1396,0,5158,147,24282
2025/12/1,3:00,24733,0,11359,6169,379,1573,620,0,516,0,0,158,0,-1391,0,5199,153,24735
2025/12/1,3:30,24851,0,11573,6168,378,1600,620,0,518,0,0,176,0,-1395,0,5070,143,24851
2025/12/1,4:00,25299,0,11753,6136,379,1590,614,0,512,0,0,175,0,-1141,0,5155,127,25300
2025/12/1,4:30,25701,0,12068,6114,379,1584,613,0,513,0,0,160,0,-647,0,4819,99,25702
2025/12/1,5:00,26822,0,12465,6166,376,1610,795,0,512,0,0,155,0,-2,0,4655,90,26822
2025/12/1,5:30,27819,0,13444,6165,378,1579,773,0,512,0,0,155,0,0,0,4687,126,27819
2025/12/1,6:00,29781,0,14886,6168,378,1591,871,0,516,0,0,155,0,354,5,4672,185,29781
2025/12/1,6:30,31230,0,15752,6166,381,1564,903,0,516,22,0,163,0,662,5,4948,146,31228
2025/12/1,7:00,32678,0,16725,6255,383,1561,876,0,514,636,0,155,0,1447,11,3993,123,32679
2025/12/1,7:30,34154,0,16664,6266,384,1551,882,0,515,1801,0,143,0,1022,12,4801,112,34153
2025/12/1,8:00,35298,0,16170,6267,382,1585,941,0,506,3291,0,132,0,696,6,5172,149,35297
2025/12/1,8:30,35756,0,13950,6269,383,1600,950,0,508,5500,0,130,0,237,1,6079,149,35756
