単位[MW平均],,,供給力
DATE,TIME,エリア需要,原子力,火力(LNG),火力(石炭),火力(石油),火力(その他),水力,地熱,バイオマス,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2024/3/1,0:00,29659,0,16563,5711,158,1833,1397,0,469,0,0,55,0,0,0,3217,256,29659
2024/3/1,0:30,28479,0,16201,5710,114,1733,1393,0,469,0,0,68,0,0,0,2484,306,28478
2024/3/1,1:00,28083,0,16123,5713,115,1700,1382,0,469,0,0,72,0,0,0,2205,303,28082
2024/3/1,1:30,27860,0,16294,5711,115,1684,1298,0,471,0,0,77,0,0,0,1893,316,27859
2024/3/1,2:00,27779,0,16192,5712,115,1674,1301,0,470,0,0,80,0,0,0,1916,318,27778
2024/3/1,2:30,27837,0,16194,5711,115,1634,1344,0,470,0,0,81,0,0,0,1972,315,27836
2024/3/1,3:00,27892,0,15919,5711,115,1636,1364,0,470,0,0,87,0,0,0,2276,315,27893
2024/3/1,3:30,27926,0,15980,5712,115,1609,1368,0,470,0,0,83,0,0,0,2284,304,27925
2024/3/1,4:00,28272,0,16182,5713,115,1569,1373,0,470,0,0,80,0,0,0,2457,314,28273
2024/3/1,4:30,28719,0,16445,5711,115,1609,1379,0,469,0,0,73,0,0,0,2631,286,28718
2024/3/1,5:00,29700,0,17045,5712,115,1694,1413,0,469,0,0,78,0,0,0,2877,298,29701
2024/3/1,5:30,31045,0,17661,5711,115,1729,1441,0,469,0,0,76,0,0,0,3582,260,31044
2024/3/1,6:00,33186,0,18909,5784,115,1771,1487,0,471,4,0,81,0,214,0,4059,291,33186
2024/3/1,6:30,35202,0,19548,5810,122,1753,1501,0,470,116,0,94,0,692,0,4838,256,35200
2024/3/1,7:00,36812,0,19845,5810,130,1725,1521,0,469,193,0,108,0,1097,0,5683,229,36810
2024/3/1,7:30,38256,0,20237,5809,132,1719,1494,0,469,455,0,119,0,1579,0,6028,215,38256
2024/3/1,8:00,40092,0,20901,5811,133,1669,1541,0,465,929,0,129,0,2799,0,5510,204,40091
2024/3/1,8:30,41309,0,21408,5810,132,1674,1540,0,464,2063,0,141,0,2978,0,4888,212,41310
2024/3/1,9:00,41838,0,20875,5849,131,1684,1428,0,461,4170,0,146,0,2304,0,4553,236,41837
2024/3/1,9:30,41129,0,19453,5925,124,1637,1410,0,461,6493,0,137,0,1005,0,4221,263,41129
2024/3/1,10:00,39765,0,17251,5948,124,1596,1297,0,461,8507,0,141,0,262,0,3908,269,39764
2024/3/1,10:30,38852,0,15037,5835,124,1597,1289,0,459,10632,0,140,0,2,0,3450,287,38852
2024/3/1,11:00,38548,0,13536,5348,123,1607,1217,0,461,12252,0,142,0,0,0,3566,294,38546
2024/3/1,11:30,37544,0,12505,5039,123,1609,1220,0,462,13047,0,141,0,0,0,3097,301,37544
2024/3/1,12:00,36273,0,10400,4809,144,1640,1234,0,461,13732,0,139,0,-154,0,3562,306,36273
2024/3/1,12:30,35460,0,10742,4750,201,1656,1238,0,460,13755,0,138,0,-597,0,2811,305,35459
2024/3/1,13:00,35748,0,11259,4754,224,1629,1234,0,459,13156,0,142,0,-674,0,3266,300,35749
2024/3/1,13:30,35417,0,11111,4753,224,1620,1247,0,458,12228,0,146,0,-61,0,3394,298,35418
2024/3/1,14:00,34885,0,11717,4854,222,1584,1248,0,458,10849,0,155,0,0,0,3493,305,34885
2024/3/1,14:30,34520,0,12563,5153,222,1594,1271,0,458,9177,0,161,0,0,0,3618,303,34520
2024/3/1,15:00,34180,0,13479,5671,223,1619,1378,0,460,7370,0,167,0,0,0,3506,306,34179
2024/3/1,15:30,34391,0,15741,5846,223,1621,1412,0,462,5372,0,166,0,273,0,2974,301,34391
2024/3/1,16:00,34818,0,17547,5845,223,1652,1668,0,468,3259,0,166,0,637,0,3057,296,34818
2024/3/1,16:30,35176,0,18882,5917,223,1650,1711,0,470,1456,0,154,0,502,0,3929,283,35177
2024/3/1,17:00,35526,0,19939,5944,224,1662,1775,0,471,318,0,149,0,581,0,4197,266,35526
2024/3/1,17:30,36483,0,20879,5944,224,1664,1842,0,471,2,0,142,0,723,0,4335,256,36482
2024/3/1,18:00,36787,0,21013,5943,225,1663,1775,0,475,0,0,140,0,868,0,4432,253,36787
2024/3/1,18:30,36693,0,20820,5944,225,1622,1769,0,474,0,0,131,0,954,0,4506,249,36694
2024/3/1,19:00,36357,0,20683,5944,226,1606,1760,0,475,0,0,120,0,846,0,4443,255,36358
2024/3/1,19:30,35908,0,20443,5945,226,1636,1754,0,475,0,0,123,0,630,0,4416,261,35909
2024/3/1,20:00,35452,0,20540,5944,226,1646,1674,0,475,0,0,131,0,368,0,4182,266,35452
2024/3/1,20:30,35013,0,20211,5944,226,1603,1647,0,476,0,0,137,0,251,0,4245,272,35012
2024/3/1,21:00,34147,0,19297,5945,226,1577,1641,0,477,0,0,135,0,138,0,4434,279,34149
2024/3/1,21:30,33221,0,18755,5871,226,1567,1612,0,476,0,0,137,0,0,0,4287,289,33220
2024/3/1,22:00,32417,0,18512,5845,220,1551,1588,0,475,0,0,136,0,0,0,3809,281,32417
2024/3/1,22:30,31487,0,18425,5845,217,1476,1541,0,474,0,0,146,0,0,0,3069,293,31486
2024/3/1,23:00,30651,0,18160,5843,216,1466,1278,0,475,0,0,162,0,0,0,2768,284,30652
2024/3/1,23:30,29530,0,17144,5846,216,1464,1224,0,476,0,0,181,0,0,0,2673,305,29529
2024/3/2,0:00,28416,0,15977,5807,157,1462,1150,0,480,0,0,178,0,0,0,2949,256,28416
2024/3/2,0:30,27358,0,15687,5688,114,1452,1150,0,480,0,0,190,0,0,0,2294,304,27359
2024/3/2,1:00,27015,0,16040,5670,114,1475,1138,0,481,0,0,200,0,0,0,1588,309,27015
2024/3/2,1:30,26751,0,16062,5667,114,1479,1084,0,482,0,0,211,0,0,0,1328,324,26751
2024/3/2,2:00,26679,0,16124,5670,114,1451,1086,0,482,0,0,220,0,0,0,1207,325,26679
2024/3/2,2:30,26823,0,16285,5689,114,1427,1105,0,482,0,0,226,0,0,0,1174,322,26824
2024/3/2,3:00,26951,0,16191,5808,114,1428,1099,0,482,0,0,238,0,0,0,1268,322,26950
2024/3/2,3:30,26932,0,15959,5848,114,1459,1095,0,482,0,0,233,0,0,0,1429,313,26932
2024/3/2,4:00,27190,0,16214,5845,114,1454,1096,0,482,0,0,232,0,0,0,1432,321,27190
2024/3/2,4:30,27476,0,16295,5846,114,1451,1096,0,482,0,0,230,0,0,0,1667,295,27476
2024/3/2,5:00,27954,0,16321,5847,114,1453,1088,0,481,0,0,233,0,0,0,2107,311,27955
2024/3/2,5:30,28508,0,16236,5847,114,1440,1116,0,481,0,0,225,0,0,0,2771,279,28509
2024/3/2,6:00,29447,0,16597,5847,114,1428,1140,0,483,6,0,219,0,74,0,3228,310,29446
2024/3/2,6:30,30142,0,16749,5847,118,1490,1148,0,483,326,0,205,0,289,0,3205,281,30141
2024/3/2,7:00,30606,0,16413,5847,121,1473,1160,0,480,1619,0,199,0,346,0,2677,272,30607
2024/3/2,7:30,31422,0,15973,5849,123,1469,1155,0,480,3375,0,179,0,85,0,2477,257,31422
2024/3/2,8:00,32407,0,14436,5795,124,1429,1156,0,476,5349,0,174,0,0,0,3222,246,32407
2024/3/2,8:30,33072,0,13633,5302,124,1387,1148,0,476,7308,0,161,0,0,0,3280,254,33073
2024/3/2,9:00,33824,0,13267,4787,124,1383,1134,0,475,8904,0,159,0,0,0,3339,252,33824
2024/3/2,9:30,34123,0,11953,4749,124,1353,1118,0,474,10182,0,153,0,-101,0,3863,256,34124
2024/3/2,10:00,34436,0,11032,4656,124,1389,1010,0,474,11488,0,148,0,-760,0,4607,269,34437
2024/3/2,10:30,34472,0,11007,4439,124,1368,1000,0,472,12215,0,143,0,-1499,0,4924,279,34472
2024/3/2,11:00,34207,0,11410,4283,124,1374,975,0,474,12294,0,140,0,-1568,0,4412,289,34207
2024/3/2,11:30,33652,0,11692,4250,124,1373,982,0,474,12087,0,132,0,-1501,0,3746,292,33651
2024/3/2,12:00,32951,0,11790,4288,124,1346,979,0,473,11786,0,130,0,-1591,0,3328,300,32953
2024/3/2,12:30,32894,0,11630,4256,125,1306,977,0,472,11883,0,126,0,-1637,0,3458,299,32895
2024/3/2,13:00,32628,0,11559,4369,144,1323,983,0,472,11360,0,127,0,-1642,0,3632,303,32630
2024/3/2,13:30,32237,0,11701,4470,176,1362,992,0,471,10659,0,128,0,-1778,0,3753,305,32239
2024/3/2,14:00,32025,0,11993,4534,227,1376,980,0,472,9595,0,132,0,-1599,0,4005,309,32024
2024/3/2,14:30,31928,0,12177,4746,227,1311,1018,0,471,8093,0,128,0,-1109,0,4557,309,31928
2024/3/2,15:00,32071,0,13156,4967,227,1345,1056,0,473,6457,0,119,0,-28,0,3997,301,32070
2024/3/2,15:30,32396,0,14959,5014,227,1331,1119,0,473,4528,0,118,0,0,0,4328,299,32396
2024/3/2,16:00,33012,0,17039,5163,227,1303,1274,0,474,2726,0,137,0,159,0,4212,297,33011
2024/3/2,16:30,33915,0,19020,5414,227,1312,1336,0,474,1297,0,131,0,378,0,4036,290,33915
2024/3/2,17:00,35017,0,19779,5778,226,1337,1457,0,475,322,0,126,0,912,0,4327,278,35017
2024/3/2,17:30,36240,0,20660,5948,226,1304,1479,0,475,2,0,129,0,2012,0,3731,275,36241
2024/3/2,18:00,36927,0,20687,5946,226,1295,1426,0,478,0,0,130,0,2874,0,3605,261,36928
2024/3/2,18:30,37020,0,20725,5948,226,1342,1431,0,478,0,0,126,0,2744,0,3736,262,37018
2024/3/2,19:00,36920,0,20829,5946,226,1314,1417,0,480,0,0,131,0,2678,0,3635,263,36919
2024/3/2,19:30,36658,0,20826,5947,226,1316,1408,0,480,0,0,132,0,2070,0,3983,270,36658
2024/3/2,20:00,36348,0,20539,5947,226,1297,1364,0,480,0,0,137,0,1845,0,4246,268,36349
2024/3/2,20:30,35977,0,20325,5946,226,1312,1355,0,480,0,0,137,0,1716,0,4202,277,35976
2024/3/2,21:00,35256,0,19815,5876,226,1362,1235,0,478,0,0,143,0,1434,0,4406,281,35256
2024/3/2,21:30,34443,0,19538,5848,226,1344,1189,0,478,0,0,136,0,1299,0,4094,292,34444
2024/3/2,22:00,33566,0,19332,5847,213,1335,1147,0,477,0,0,124,0,1211,0,3586,295,33567
2024/3/2,22:30,32673,0,19508,5849,195,1385,1064,0,477,0,0,126,0,856,0,2909,305,32674
2024/3/2,23:00,32063,0,19491,5776,194,1341,1049,0,479,0,0,128,0,551,0,2772,281,32062
2024/3/2,23:30,30957,0,19359,5696,194,1249,1041,0,479,0,0,124,0,288,0,2226,300,30956
2024/3/3,0:00,30091,0,17340,5658,136,1244,1038,0,481,0,0,123,0,27,0,3763,280,30090
2024/3/3,0:30,28997,0,17335,5539,93,1231,990,0,480,0,0,105,0,0,0,2896,328,28997
2024/3/3,1:00,28664,0,17241,5522,93,1232,983,0,480,0,0,99,0,0,0,2685,329,28664
2024/3/3,1:30,28417,0,17182,5519,93,1207,976,0,478,0,0,96,0,0,0,2522,344,28417
2024/3/3,2:00,28276,0,17275,5521,93,1204,999,0,476,0,0,96,0,0,0,2270,342,28276
2024/3/3,2:30,28162,0,17385,5539,93,1220,1056,0,476,0,0,93,0,0,0,1956,343,28161
2024/3/3,3:00,28181,0,17693,5660,93,1213,1056,0,475,0,0,91,0,0,0,1557,342,28180
2024/3/3,3:30,27887,0,17538,5697,93,1215,1052,0,474,0,0,91,0,0,0,1394,333,27887
2024/3/3,4:00,27930,0,17461,5696,93,1240,1039,0,472,0,0,88,0,0,0,1516,325,27930
2024/3/3,4:30,28032,0,17690,5697,94,1273,1038,0,471,0,0,77,0,0,0,1395,298,28033
2024/3/3,5:00,28385,0,17717,5697,93,1288,1033,0,471,0,0,78,0,0,0,1702,306,28385
2024/3/3,5:30,28713,0,17420,5721,93,1325,1049,0,471,0,0,78,0,0,0,2279,276,28712
2024/3/3,6:00,29736,0,17816,5790,94,1329,1145,0,472,8,0,69,0,0,0,2712,302,29737
2024/3/3,6:30,30169,0,17774,5639,102,1314,1173,0,472,371,0,63,0,140,0,2848,272,30168
2024/3/3,7:00,30539,0,16334,5481,119,1305,1189,0,473,1801,0,61,0,87,0,3426,264,30540
2024/3/3,7:30,30636,0,14090,5266,119,1316,1175,0,472,3676,0,57,0,-1,0,4219,248,30637
