単位[MW平均],,,供給力
DATE,TIME,エリア需要,原子力,火力(LNG),火力(石炭),火力(石油),火力(その他),水力,地熱,バイオマス,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2026/2/1,0:00,33335,0,17676,6871,630,1585,827,0,482,0,0,229,0,158,0,4593,283,33334
2026/2/1,0:30,32185,0,16671,6873,630,1605,826,0,482,0,0,216,0,0,0,4538,343,32184
2026/2/1,1:00,31725,0,16283,6875,630,1634,811,0,482,0,0,209,0,0,1,4457,343,31725
2026/2/1,1:30,31297,0,15702,6871,630,1621,823,0,482,0,0,197,0,119,2,4493,358,31298
2026/2/1,2:00,31018,0,15612,6873,630,1674,854,0,482,0,0,160,0,398,3,3984,346,31016
2026/2/1,2:30,30827,0,15465,6872,630,1667,855,0,482,0,0,163,0,399,3,3940,350,30826
2026/2/1,3:00,30658,0,15491,6873,631,1673,854,0,481,0,0,123,0,294,3,3893,343,30659
2026/2/1,3:30,30422,0,15474,6871,630,1639,850,0,481,0,0,119,0,120,4,3901,333,30422
2026/2/1,4:00,30445,0,15350,6873,631,1644,864,0,481,0,0,111,0,238,3,3909,341,30445
2026/2/1,4:30,30619,0,15221,6871,630,1620,860,0,481,0,0,106,0,364,2,4159,305,30619
2026/2/1,5:00,31181,0,15519,6872,631,1641,852,0,481,0,0,112,0,666,4,4084,318,31180
2026/2/1,5:30,31796,0,15850,6874,631,1664,841,0,481,0,0,110,0,677,3,4382,282,31795
2026/2/1,6:00,33217,0,16977,6872,630,1692,834,0,483,0,0,101,0,679,2,4621,327,33218
2026/2/1,6:30,34658,0,17822,6870,634,1750,856,0,482,5,0,92,0,729,1,5117,300,34658
2026/2/1,7:00,35674,0,17941,6872,634,1754,844,0,481,374,0,92,0,961,7,5385,329,35674
2026/2/1,7:30,36659,0,17456,6871,635,1753,841,0,481,2279,0,84,0,986,2,4958,313,36659
2026/2/1,8:00,36731,0,15059,6873,635,1731,855,0,479,4380,0,82,0,694,0,5596,347,36731
2026/2/1,8:30,36512,0,13696,6872,635,1664,864,0,478,6628,0,89,0,142,0,5093,350,36511
2026/2/1,9:00,36273,0,11594,6791,634,1577,852,0,478,8750,0,101,0,0,0,5153,343,36273
2026/2/1,9:30,35568,0,9547,6487,629,1572,852,0,479,10580,0,108,0,-119,1,5094,338,35568
2026/2/1,10:00,34890,0,9301,5463,627,1592,860,0,478,12151,0,108,0,-985,1,4966,328,34890
2026/2/1,10:30,34110,0,8572,5019,626,1568,861,0,478,13308,0,113,0,-1597,1,4824,337,34110
2026/2/1,11:00,33682,0,8274,4534,628,1556,863,0,479,14025,0,122,0,-2552,1,5429,324,33683
2026/2/1,11:30,33317,0,8573,4013,627,1519,870,0,480,14312,0,117,0,-3494,1,5972,327,33317
2026/2/1,12:00,32945,0,8879,3822,628,1493,872,0,477,14217,0,144,0,-3906,1,6020,297,32944
2026/2/1,12:30,32295,0,8992,3748,627,1492,893,0,477,13782,0,155,0,-3961,2,5798,291,32296
2026/2/1,13:00,31785,0,9292,3764,627,1503,909,0,478,12970,0,169,0,-3649,2,5415,304,31784
2026/2/1,13:30,31214,0,9320,3806,628,1490,908,0,478,11873,0,149,0,-3238,2,5487,312,31215
2026/2/1,14:00,30942,0,10033,4021,627,1485,888,0,478,10458,0,145,0,-2516,1,5018,303,30941
2026/2/1,14:30,30809,0,10690,4344,628,1494,884,0,478,8638,0,138,0,-1566,2,4776,305,30811
2026/2/1,15:00,31039,0,12074,4408,628,1434,1083,0,477,6536,0,118,0,-387,2,4359,307,31039
2026/2/1,15:30,31664,0,13606,4744,628,1419,1105,0,477,4311,0,119,0,0,1,4951,303,31664
2026/2/1,16:00,32694,0,15980,5011,629,1434,1208,0,477,2225,0,125,0,195,5,5068,336,32693
2026/2/1,16:30,33842,0,18234,5481,629,1460,1209,0,476,625,0,119,0,286,5,4991,327,33842
2026/2/1,17:00,35874,0,20911,6155,628,1460,1222,0,474,3,0,125,0,376,8,4160,351,35873
2026/2/1,17:30,37487,0,21377,6484,628,1486,1218,0,474,0,0,135,0,621,17,4704,343,37487
2026/2/1,18:00,38386,0,21928,6779,628,1472,1233,0,477,0,0,131,0,833,18,4537,350,38386
2026/2/1,18:30,38843,0,22054,6874,628,1535,1253,0,477,0,0,129,0,924,22,4597,349,38842
2026/2/1,19:00,39014,0,22090,6871,628,1504,1259,0,478,0,0,117,0,895,24,4810,338,39014
2026/2/1,19:30,39098,0,22182,6874,627,1499,1253,0,479,0,0,117,0,788,21,4922,336,39098
2026/2/1,20:00,39038,0,22203,6871,626,1505,1188,0,479,0,0,116,0,978,19,4713,341,39039
2026/2/1,20:30,38767,0,21672,6871,627,1436,1187,0,480,0,0,119,0,796,17,5215,346,38766
2026/2/1,21:00,38161,0,21440,6872,627,1463,1131,0,479,0,0,130,0,760,11,4932,316,38161
2026/2/1,21:30,37106,0,20534,6871,627,1457,1142,0,480,0,0,123,0,496,3,5045,328,37106
2026/2/1,22:00,36004,0,19332,6871,626,1556,1036,0,480,0,0,146,0,418,0,5247,293,36005
2026/2/1,22:30,34662,0,17985,6872,625,1664,991,0,480,0,0,138,0,126,0,5468,312,34661
2026/2/1,23:00,33893,0,17618,6924,623,1768,865,0,479,0,0,150,0,0,0,5142,324,33893
2026/2/1,23:30,32642,0,16227,7022,625,1864,845,0,479,0,0,118,0,0,0,5119,344,32643
2026/2/2,0:00,31646,0,16017,7022,623,1821,747,0,476,0,0,119,0,0,0,4539,281,31645
2026/2/2,0:30,30488,0,14446,7023,624,1795,741,0,475,0,0,111,0,0,0,4940,333,30488
2026/2/2,1:00,30168,0,14111,7022,626,1817,723,0,475,0,0,101,0,0,2,4935,357,30169
2026/2/2,1:30,29905,0,14100,7023,624,1805,733,0,476,0,0,99,0,0,2,4674,369,29905
2026/2/2,2:00,29809,0,14336,7024,624,1817,742,0,473,0,0,103,0,0,1,4318,371,29809
2026/2/2,2:30,29654,0,14180,7047,625,1813,743,0,473,0,0,108,0,0,1,4293,370,29653
2026/2/2,3:00,29754,0,14822,7085,624,1841,746,0,475,0,0,109,0,0,0,3682,370,29754
2026/2/2,3:30,29720,0,14661,7215,624,1878,740,0,475,0,0,106,0,0,0,3664,357,29720
2026/2/2,4:00,30103,0,15312,7293,625,1878,742,0,474,0,0,101,0,0,0,3316,362,30103
2026/2/2,4:30,30627,0,15601,7412,624,1879,751,0,474,0,0,91,0,0,0,3470,325,30627
2026/2/2,5:00,32013,0,15810,7656,624,1842,1099,0,473,0,0,92,0,0,0,4087,329,32012
2026/2/2,5:30,33748,0,17297,7874,624,1861,1104,0,476,0,0,97,0,0,0,4126,289,33748
2026/2/2,6:00,36490,0,20728,7872,622,1872,1124,0,478,0,0,91,0,1,0,3396,307,36491
2026/2/2,6:30,39335,0,23449,7894,674,1882,1119,0,477,6,0,83,0,1012,1,2480,259,39336
2026/2/2,7:00,41388,0,24438,7995,712,1875,1112,0,477,344,0,80,0,1338,10,2737,270,41388
2026/2/2,7:30,42855,0,23987,8071,713,1892,1111,0,477,2003,0,80,0,1150,10,3127,234,42855
2026/2/2,8:00,43831,0,23111,8000,712,1934,1135,0,473,4117,0,80,0,364,2,3638,266,43832
2026/2/2,8:30,44198,0,22342,7972,712,1855,1145,0,472,6427,0,79,0,9,1,2913,271,44198
2026/2/2,9:00,44361,0,20083,7975,713,1851,1096,0,470,8579,0,80,0,0,0,3249,265,44361
2026/2/2,9:30,43603,0,16447,7977,723,1909,1078,0,468,10395,0,79,0,0,1,4239,287,43603
2026/2/2,10:00,42491,0,13477,7719,729,1953,718,0,468,11855,0,86,0,-149,1,5321,312,42490
2026/2/2,10:30,41614,0,12584,7103,736,1963,713,0,468,13114,0,95,0,-870,1,5371,336,41614
2026/2/2,11:00,41084,0,13140,6860,740,1992,703,0,468,13974,0,99,0,-1697,1,4491,314,41085
2026/2/2,11:30,40499,0,12897,6863,739,1954,714,0,469,14326,0,101,0,-2382,1,4492,323,40497
2026/2/2,12:00,39199,0,12171,6859,771,1942,723,0,468,14282,0,110,0,-3288,1,4876,284,39199
2026/2/2,12:30,38514,0,12233,6860,815,1899,740,0,467,13787,0,120,0,-3233,1,4534,290,38513
2026/2/2,13:00,39275,0,12941,6913,815,1852,753,0,467,12910,0,109,0,-2169,1,4387,295,39274
2026/2/2,13:30,39176,0,13534,6996,816,1855,748,0,468,11593,0,110,0,-1339,0,4100,297,39178
2026/2/2,14:00,39210,0,14632,7432,814,1901,747,0,468,9812,0,117,0,-711,0,3697,300,39209
2026/2/2,14:30,39094,0,15135,7971,815,1841,754,0,466,7675,0,121,0,-60,3,4076,297,39094
2026/2/2,15:00,38982,0,16801,7971,814,1858,1074,0,467,5558,0,111,0,0,0,4049,279,38982
2026/2/2,15:30,39439,0,19434,7971,846,1832,1098,0,467,3472,0,110,0,238,1,3697,273,39439
2026/2/2,16:00,40202,0,21646,7975,845,1819,1515,0,469,1704,0,100,0,567,5,3252,305,40202
2026/2/2,16:30,41021,0,23580,7969,846,1827,1548,0,471,487,0,94,0,1124,14,2771,290,41021
2026/2/2,17:00,41743,0,24053,7970,840,1830,1579,0,474,3,0,96,0,1895,24,2672,307,41743
2026/2/2,17:30,42477,0,24978,7973,833,1808,1506,0,474,0,0,93,0,1996,26,2494,295,42476
2026/2/2,18:00,42571,0,25095,7970,830,1815,1504,0,477,0,0,92,0,1958,31,2501,298,42571
