単位[MW平均],,,供給力
DATE,TIME,エリア需要,原子力,火力(LNG),火力(石炭),火力(石油),火力(その他),水力,地熱,バイオマス,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2026/9/1,0:00,26392,1290,10333,6201,383,1775,1689,0,540,0,0,76,0,-639,8,4490,246,26392
2026/9/1,0:30,25530,1290,10280,6225,341,1759,1681,0,540,0,0,77,0,-1215,10,4282,261,25531
2026/9/1,1:00,24888,1290,10326,6208,341,1762,1677,0,541,0,0,74,0,-2176,5,4533,307,24888
2026/9/1,1:30,24261,1289,9721,6244,340,1759,1673,0,542,0,0,65,0,-2443,2,4750,317,24259
2026/9/1,2:00,23944,1289,9535,6100,342,1765,1683,0,529,0,0,54,0,-2708,8,5030,318,23945
2026/9/1,2:30,23905,1290,9509,5952,341,1776,1686,0,542,0,0,58,0,-2759,8,5186,316,23905
2026/9/1,3:00,24002,1289,9687,5951,342,1802,1685,0,530,0,0,60,0,-2847,8,5155,342,24004
2026/9/1,3:30,24137,1290,9800,5955,341,1809,1634,0,530,0,0,66,0,-2910,8,5278,335,24136
2026/9/1,4:00,24178,1291,9707,5966,342,1810,1639,0,530,0,0,57,0,-2677,5,5178,331,24179
2026/9/1,4:30,24360,1291,9574,5951,341,1797,1642,0,543,0,0,69,0,-2215,4,5056,307,24360
2026/9/1,5:00,24905,1291,9859,5948,341,1836,1638,0,529,2,0,55,0,-1780,8,4899,278,24904
2026/9/1,5:30,25153,1291,9774,6049,341,1797,1640,0,529,133,0,37,0,-1625,6,4902,279,25153
2026/9/1,6:00,25935,1290,10227,6096,341,1775,1629,0,530,351,0,50,0,-1473,3,4796,319,25934
2026/9/1,6:30,26914,1291,10438,6045,342,1796,1627,0,530,880,0,51,0,-1426,3,5064,272,26913
2026/9/1,7:00,28510,1290,10737,6057,343,1802,1612,0,528,1772,0,54,0,-1800,1,5830,283,28509
