単位[MW平均],,,供給力
DATE,TIME,エリア需要,原子力,火力(LNG),火力(石炭),火力(石油),火力(その他),水力,地熱,バイオマス,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2025/1/1,0:00,27006,0,13029,5730,475,1833,724,0,427,0,0,182,0,0,0,4437,171,27008
2025/1/1,0:30,25883,0,12045,5730,480,1810,717,0,428,0,0,172,0,0,0,4279,222,25883
2025/1/1,1:00,25376,0,11595,5728,482,1786,715,0,428,0,0,168,0,101,0,4141,233,25377
2025/1/1,1:30,24947,0,11275,5732,482,1758,702,0,427,0,0,161,0,457,0,3712,241,24947
2025/1/1,2:00,24699,0,10798,5730,482,1734,714,0,428,0,0,159,0,679,0,3692,282,24698
2025/1/1,2:30,24478,0,10129,5729,484,1740,735,0,427,0,0,162,0,731,0,4059,282,24478
2025/1/1,3:00,24427,0,10142,5728,483,1716,739,0,426,0,0,162,0,719,0,4002,310,24427
2025/1/1,3:30,24277,0,10314,5730,482,1760,765,0,428,0,0,163,0,711,0,3631,294,24278
2025/1/1,4:00,24282,0,10140,5729,482,1731,790,0,427,0,0,155,0,711,0,3814,304,24283
2025/1/1,4:30,24290,0,10346,5731,483,1749,780,0,426,0,0,146,0,711,0,3642,277,24291
2025/1/1,5:00,24533,0,10077,5718,482,1740,876,0,425,0,0,146,0,720,0,4066,282,24532
2025/1/1,5:30,24668,0,10271,5570,483,1735,925,0,426,0,0,133,0,592,0,4284,249,24668
2025/1/1,6:00,25308,0,11360,5434,482,1730,994,0,424,0,0,131,0,549,0,3931,273,25308
2025/1/1,6:30,26114,0,11748,5329,488,1744,989,0,422,0,0,127,0,603,0,4420,244,26114
2025/1/1,7:00,26767,0,12398,5218,493,1704,944,0,414,83,0,117,0,1011,0,4130,255,26767
2025/1/1,7:30,27922,0,12210,5044,495,1719,863,0,414,1525,0,115,0,1284,0,4021,233,27923
2025/1/1,8:00,28271,0,11570,4833,494,1716,881,0,410,3385,0,113,0,1202,0,3413,254,28271
2025/1/1,8:30,27839,0,10533,4553,494,1755,875,0,410,5298,0,124,0,523,0,3020,255,27840
